date,amount,category,merchant,description
2024-01-01,1200,food,swiggy,food delivery
2024-01-02,800,transport,uber,office commute
2024-01-03,450,cafe,starbucks,coffee
2024-01-04,2000,rent,landlord,january rent
2024-01-05,600,entertainment,netflix,subscription
2024-01-06,1500,shopping,amazon,clothing
2024-01-07,300,food,dominos,pizza
2024-01-08,500,utilities,electricityboard,electricity bill
2024-01-09,700,utilities,waterboard,water bill
2024-01-10,1000,subscriptions,spotify,music subscription
2024-01-11,900,transport,uber,airport ride
2024-01-12,400,cafe,starbucks,coffee
2024-01-13,650,food,swiggy,lunch
2024-01-14,1200,shopping,flipkart,headphones
2024-01-15,2000,rent,landlord,february rent
2024-01-16,550,entertainment,bookmyshow,movie tickets
2024-01-17,300,food,dominos,dinner
2024-01-18,450,cafe,ccd,coffee
2024-01-19,800,transport,ola,city ride
2024-01-20,1000,grocery,bigbasket,groceries
2024-01-21,900,grocery,instamart,groceries
2024-01-22,750,shopping,amazon,household items
2024-01-23,600,subscriptions,netflix,subscription
2024-01-24,350,cafe,starbucks,coffee
2024-01-25,1400,food,swiggy,dinner
2024-01-26,500,utilities,internetprovider,internet bill
2024-01-27,950,transport,uber,late night ride
2024-01-28,2000,rent,landlord,march rent
2024-01-29,800,entertainment,spotify,subscription
2024-01-30,1100,shopping,amazon,shoes
2024-02-01,1300,food,swiggy,food delivery
2024-02-02,900,transport,uber,office ride
2024-02-03,500,cafe,starbucks,coffee
2024-02-04,2000,rent,landlord,february rent
2024-02-05,600,entertainment,netflix,subscription
2024-02-06,1500,shopping,amazon,electronics
2024-02-07,400,food,dominos,pizza
2024-02-08,550,utilities,electricityboard,electricity bill
2024-02-09,700,utilities,waterboard,water bill
2024-02-10,1000,subscriptions,spotify,music subscription
2024-02-11,850,transport,uber,city ride
2024-02-12,450,cafe,starbucks,coffee
2024-02-13,650,food,swiggy,lunch
2024-02-14,1200,shopping,flipkart,clothing
2024-02-15,2000,rent,landlord,march rent
2024-02-16,550,entertainment,bookmyshow,movie tickets
2024-02-17,300,food,dominos,dinner
2024-02-18,450,cafe,ccd,coffee
2024-02-19,800,transport,ola,city ride
2024-02-20,1000,grocery,bigbasket,groceries
2024-02-21,900,grocery,instamart,groceries
2024-02-22,750,shopping,amazon,household items
2024-02-23,600,subscriptions,netflix,subscription
2024-02-24,350,cafe,starbucks,coffee
2024-02-25,1400,food,swiggy,dinner
2024-02-26,500,utilities,internetprovider,internet bill
2024-02-27,950,transport,uber,late night ride
2024-02-28,2000,rent,landlord,april rent
2024-02-29,800,entertainment,spotify,subscription
2024-03-01,1100,shopping,amazon,shoes
2024-03-02,1200,food,swiggy,food delivery
2024-03-03,850,transport,uber,city ride
2024-03-04,550,cafe,starbucks,coffee
2024-03-05,2000,rent,landlord,april rent
2024-03-06,1000,entertainment,spotify,subscription
2024-03-07,650,food,dominos,pizza
2024-03-08,900,grocery,bigbasket,groceries
2024-03-09,1400,shopping,amazon,clothing
2024-03-10,500,utilities,electricityboard,electricity bill
2024-03-11,700,utilities,waterboard,water bill
2024-03-12,600,subscriptions,netflix,subscription
2024-03-13,300,cafe,starbucks,coffee
2024-03-14,800,transport,uber,office ride
2024-03-15,1500,shopping,flipkart,headphones
2024-03-16,2000,rent,landlord,may rent
2024-03-17,1000,entertainment,bookmyshow,concert
2024-03-18,650,food,swiggy,lunch
2024-03-19,900,grocery,instamart,groceries
2024-03-20,1200,shopping,amazon,home items
2024-03-21,500,cafe,ccd,coffee
2024-03-22,850,transport,ola,city ride
2024-03-23,300,food,dominos,dinner
2024-03-24,1000,subscriptions,spotify,subscription
2024-03-25,450,cafe,starbucks,coffee
2024-03-26,1400,food,swiggy,dinner
2024-03-27,500,utilities,internetprovider,internet bill
2024-03-28,950,transport,uber,late night ride
2024-03-29,2000,rent,landlord,june rent
2024-03-30,800,entertainment,netflix,subscription
2024-03-31,1100,shopping,amazon,shoes
2023-01-05,450,food,swiggy,lunch order
2023-01-10,1200,shopping,amazon,clothes
2023-01-15,999,subscriptions,netflix,monthly subscription
2023-02-03,300,cafe,starbucks,coffee
2023-02-14,2200,travel,makemytrip,flight booking
2023-03-01,1500,rent,landlord,monthly rent
2023-03-07,500,utilities,airtel,internet bill
2023-04-12,750,food,zomato,dinner
2023-05-20,1800,shopping,flipkart,phone accessories
2023-06-02,999,subscriptions,spotify,monthly subscription
2023-07-19,3200,travel,irctc,train tickets
2023-08-11,400,cafe,ccd,coffee
2023-09-23,2100,entertainment,bookmyshow,concert tickets
2023-10-04,1600,utilities,electricityboard,electricity bill
2023-11-15,5000,travel,goibibo,holiday booking
2023-12-25,3500,gifts,amazon,christmas gifts

2024-01-02,500,food,swiggy,breakfast
2024-01-09,1500,shopping,amazon,shoes
2024-01-15,1500,rent,landlord,monthly rent
2024-01-22,999,subscriptions,netflix,monthly subscription
2024-02-05,700,food,zomato,lunch
2024-02-12,1200,utilities,jio,phone bill
2024-02-18,2600,travel,airindia,flight
2024-03-03,450,cafe,starbucks,coffee
2024-03-10,999,subscriptions,spotify,monthly subscription
2024-03-20,3200,shopping,myntra,clothing
2024-04-01,1500,rent,landlord,monthly rent
2024-04-14,900,entertainment,bookmyshow,movie tickets
2024-05-09,650,food,swiggy,dinner
2024-06-21,1800,travel,ola,cab rides
2024-07-05,999,subscriptions,netflix,monthly subscription
2024-08-17,1400,utilities,waterboard,water bill
2024-09-11,2100,shopping,flipkart,home items
2024-10-28,5000,travel,makemytrip,flight booking
2024-11-19,3500,gifts,amazon,festival gifts
2024-12-31,2500,entertainment,bookmyshow,new year event

2025-01-08,600,food,zomato,lunch
2025-01-15,1500,rent,landlord,monthly rent
2025-02-02,999,subscriptions,spotify,monthly subscription
2025-02-14,2800,travel,airindia,valentine trip
2025-03-09,500,cafe,starbucks,coffee
2025-04-18,2000,shopping,amazon,headphones
2025-05-05,1200,utilities,airtel,internet bill
2025-06-27,4500,travel,goibibo,summer vacation
2025-07-07,750,food,swiggy,dinner
2025-08-15,2200,gifts,amazon,independence day gifts
2025-09-01,999,subscriptions,netflix,monthly subscription
2025-10-22,3200,shopping,flipkart,festival shopping
2025-11-11,1800,entertainment,bookmyshow,concert
2025-12-25,4000,gifts,amazon,christmas shopping

